"ID","Keyword","Section","Anchor","SpecLocationHref","NormativeText","ThreatAlignment","FailureIfDowngraded","WhyShouldInsufficient","VerificationMethod","ReferenceImplStatus","EvidenceNotes","TargetVersion","SourceLine"
"NORM-001","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","Principle: User actions and system changes MUST be undoable within documented recovery windows. Failures MUST NOT become irreversible harm.","","","","","N/A","","v1.0","458"
"NORM-003","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST provide undo/undo mechanism for all destructive user actions (delete, modify, publish)","","","","","N/A","","v1.0","463"
"NORM-004","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST display recovery window duration to user (e.g., ""Item will be permanently deleted in 30 days"")","","","","","N/A","","v1.0","464"
"NORM-005","MUST NOT","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT permanently delete user data without explicit confirmation + mandatory delay (minimum 7 days)","","","","","N/A","","v1.0","466"
"NORM-006","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST document which system actions are reversible and which are irreversible","","","","","N/A","","v1.0","467"
"NORM-007","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","Principle: Data MUST be collected only when essential. What is collected MUST be defended with cryptography. Data retention MUST be minimal and automatic.","State surveillance","Unbounded collection or weak protection increases breach blast radius and exposes longitudinal health patterns.","Minimization, crypto, and retention controls are baseline harm-reduction controls; optional adoption leaves predictable exploitation paths open.","Audit data schema against essential-use-case inventory, verify at-rest and in-transit encryption settings, and run retention-expiry tests on backup records.","Partial","PainTracker states essential-only collection, AES-256 at rest, TLS 1.3 in transit, and no sharing; local retention remains user-controlled and not fully automatic. To reach Met: enforce automatic local retention windows with documented override policy.","v1.0","497"
"NORM-010","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST perform data minimization audit: justify every data field collected","State surveillance","Unjustified fields enable profiling, secondary inference, and coercive data requests beyond core care needs.","Without a mandatory per-field justification process, data scope drifts over time and reviewers cannot detect over-collection early.","Require a versioned field-justification ledger and verify each schema migration includes necessity, sensitivity class, and retention bound.","Partial","Reference implementation documents essential fields but does not publish a formal per-field minimization audit artifact. To reach Met: publish a versioned field-justification ledger tied to schema migrations.","v1.0","502"
"NORM-011","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST encrypt sensitive data at rest (AES-256 minimum; ChaCha20 acceptable)","Device seizure","Lost or seized devices can reveal plaintext records, causing irreversible confidentiality loss.","At-rest encryption cannot be discretionary when threat model includes confiscation and endpoint compromise.","Attempt raw storage extraction from device backup, confirm absence of plaintext fragments via strings/grep scan, verify key-derivation method and parameters, and confirm keys are not persisted in plaintext config files or logs.","Met","PainTracker reports AES-256 GCM storage encryption and audit test confirms exported database is unreadable without decryption key.","v1.0","503"
"NORM-012","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST use TLS 1.3+ for all data in transit; TLS 1.2 acceptable with strong ciphersuites only","Network tampering","Transport interception permits content disclosure, manipulation, or downgrade attacks during sync/backup.","Weak transport guarantees collapse confidentiality in transit even if local storage is encrypted.","Probe endpoints with TLS tooling to confirm TLS 1.3 preference, reject weak suites, and validate downgrade resistance in handshake behavior.","Met","Reference mapping states TLS 1.3 for all communication and includes an OpenSSL verification checkpoint for cipher and downgrade posture.","v1.0","504"
"NORM-013","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST define explicit retention policy for every data field (max age before auto-delete)","Institutional control","Undefined retention increases subpoena/disclosure exposure windows and amplifies harm from delayed compromise.","Retention limits must be enforceable defaults; guidance-only policies do not constrain operational drift.","Inspect per-field retention table, verify expiry removes logical references and blocks application-level access, confirm no documented restore path after expiry, and treat physical media destruction as out-of-scope unless explicitly guaranteed.","Partial","PainTracker specifies one-year auto-delete for server backups but keeps local entries indefinitely by user control, so not all fields have automatic minimal retention. To reach Met: define and enforce per-field local retention defaults with auditable expiry behavior.","v1.0","505"
"NORM-014","MUST NOT","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST NOT sell, share, or broker user data without explicit informed consent (opt-in, not opt-out)","Institutional control","Data sale or broker sharing enables exploitation, discrimination, and coercive profiling by third parties.","Consent and sharing boundaries are critical trust controls; optional compliance invites monetization pressure and abuse.","Review data-flow inventory, third-party processor list, network egress logs, and consent records to confirm no non-consensual sharing paths exist.","Met","Reference mapping asserts zero third-party access, no ad/analytics trackers, and no data sale pathway.","v1.0","507"
"NORM-015","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","Principle: Users MUST retain control and function locally. Systems MUST NOT require internet for essential operations.","","","","","N/A","","v1.0","537"
"NORM-017","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST support offline operation for all essential user workflows","","","","","N/A","","v1.0","542"
"NORM-018","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST cache essential data on user's device; users maintain local copy","","","","","N/A","","v1.0","543"
"NORM-019","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST sync gracefully without blocking user workflow (asynchronous, eventual consistency)","","","","","N/A","","v1.0","544"
"NORM-020","MUST NOT","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST NOT require authentication for offline access to cached user data","","","","","N/A","","v1.0","546"
"NORM-021","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST document offline vs. online feature parity and sync behavior","","","","","N/A","","v1.0","548"
"NORM-022","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","Principle: Users MUST be able to maintain confidentiality and integrity even under physical or legal coercion.","Coercion / forced disclosure","Under detention or legal compulsion, users can be forced into plaintext disclosure with no protective operating mode, causing immediate irreversible exposure.","Coercion events are catastrophic and time-critical; optional controls leave users unprotected in the exact scenario this principle targets.","Run coercion tabletop: assume unlocked-device demand, legal demand, and account-seizure scenarios; verify available protections, what remains hidden, and what is exposed.","Partial","Attack scenario: forced unlock and compelled disclosure. Non-coercive fallback: offline local-only use with no cloud sync when risk escalates. Disclosure minimization: encrypted content still protected at rest, but unlocked-session and metadata leakage remain. To reach Met: add deniability controls and metadata-minimizing operation mode.","v1.0","577"
"NORM-023","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST use encryption where users hold keys; system cannot decrypt user data","Institutional control","If system operators can decrypt user data, subpoenas, insider abuse, or platform capture yield bulk plaintext disclosure.","User-held keys are a hard boundary; making it optional collapses zero-knowledge guarantees under legal or administrative pressure.","Attempt decryption from server-side backup/database using admin credentials only; verify inability to recover plaintext without user key material.","Met","Attack scenario: compelled server-side disclosure request. Non-coercive fallback: user can withhold passphrase and keep local encrypted copy. Disclosure minimization: server can provide ciphertext only.","v1.0","582"
"NORM-024","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST support strong passphrases (minimum 128 bits entropy; 6+ words recommended)","Device seizure","Weak passphrases allow rapid brute-force recovery after confiscation, exposing complete historical records.","Passphrase strength is not recoverable post-breach; weak defaults create permanent retrospective exposure.","Validate passphrase policy and entropy estimator enforcement; run controlled cracking tests against policy-minimum examples.","Met","Attack scenario: seized encrypted backup attacked offline. Non-coercive fallback: user can rotate to stronger passphrase and re-encrypt. Disclosure minimization: high-entropy passphrases slow extraction window.","v1.0","583"
"NORM-025","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST use slow key derivation (Argon2id, Scrypt; never MD5/SHA-1)","Device seizure","Fast or obsolete KDFs make offline guessing feasible, turning encrypted stores into recoverable plaintext archives.","KDF hardness is a mandatory control against commodity cracking rigs; advisory guidance is routinely bypassed for convenience.","Inspect KDF parameters in runtime configuration, benchmark derivation cost, and reject builds that permit MD5/SHA-1 credential derivation.","Met","Attack scenario: attacker runs GPU/ASIC dictionary attacks on captured ciphertext. Non-coercive fallback: increase Argon2id cost factors for high-risk profiles. Disclosure minimization: slow KDF materially limits guesses per second.","v1.0","584"
"NORM-026","MUST NOT","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST NOT provide administrative backdoors or master keys","Institutional control","Any admin backdoor enables unilateral mass disclosure and nullifies user security expectations.","Backdoor existence is binary; if present at all, coercive capture and insider abuse paths remain open.","Audit key-management architecture, recovery flows, and privileged APIs to prove no master decryption credential exists.","Met","Attack scenario: operator compelled to decrypt at scale. Non-coercive fallback: user-held key model blocks operator-only decryption. Disclosure minimization: operator can expose metadata or ciphertext but not plaintext.","v1.0","585"
"NORM-027","MUST","4. Core Principles (Normative) | 4.4 Coercion Resistance","sec4","/docs/spec/v1.0.html#sec4","MUST document threat model clearly: what adversaries can and cannot extract","State surveillance","Ambiguous threat boundaries produce false safety assumptions and high-risk deployment in contexts the system cannot defend.","Threat-model clarity is prerequisite for informed consent; non-mandatory disclosure leads to misuse under adversarial conditions.","Review threat-model documentation for explicit resisted/non-resisted adversaries and extraction boundaries; confirm parity with implementation behavior and audit tests.","Met","Attack scenario: user deploys in active coercion context based on incomplete claims. Non-coercive fallback: documentation directs high-risk users to avoid unsupported threat contexts. Disclosure minimization: explicit limits prevent over-claiming and reduce unsafe reliance.","v1.0","588"
"NORM-028","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","Principle: Systems MUST remain usable when bandwidth, power, compute, or cognition are severely constrained.","","","","","N/A","","v1.0","617"
"NORM-029","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST test baseline path on 2G networks (<100KB initial HTML load)","","","","","N/A","","v1.0","622"
"NORM-030","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST function on devices with <512MB RAM","","","","","N/A","","v1.0","623"
"NORM-031","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST support complete keyboard-only navigation (no mouse required)","","","","","N/A","","v1.0","624"
"NORM-032","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST gracefully degrade features under resource constraints","","","","","N/A","","v1.0","625"
"NORM-033","MUST NOT","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST NOT auto-load media (user must explicitly request video/audio)","","","","","N/A","","v1.0","627"
"NORM-034","MUST","4. Core Principles (Normative) | 4.5 Degraded Functionality","sec4","/docs/spec/v1.0.html#sec4","MUST meet WCAG 2.1 Level AA accessibility standards (color contrast, screen reader support)","","","","","N/A","","v1.0","628"
"NORM-035","MUST","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","Principle: Systems MUST optimize for user survival and autonomy. Features MUST serve essential needs, not engagement metrics or extraction.","","","","","N/A","","v1.0","657"
"NORM-037","MUST","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST document essential use cases explicitly; justify every feature","","","","","N/A","","v1.0","662"
"NORM-038","MUST NOT","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT use dark patterns (hidden friction-to-exit, manipulative notifications, deceptive confirmations)","","","","","N/A","","v1.0","663"
"NORM-039","MUST NOT","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT include addictive mechanics (streaks, variable rewards, leaderboards, FOMO notifications)","","","","","N/A","","v1.0","665"
"NORM-040","MUST","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST measure success by user goal completion, not engagement time or feature adoption","","","","","N/A","","v1.0","666"
"NORM-041","MUST NOT","4. Core Principles (Normative) | 4.6 Essential Utility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT require payment for essential features (accessibility tiers acceptable; never paywall core utility)","","","","","N/A","","v1.0","668"
"NORM-042","MUST","6. Compliance Levels","sec6","/docs/spec/v1.0.html#sec6","All systems claiming Protective Computing compliance MUST declare a compliance level (1–4) for each principle. A system's overall compliance is determined by its weakest principle.","","","","","N/A","","v1.0","744"
